[PERF] units H:28 E:30 | tick avg 2.07ms max 54.60ms (n=281) | move 483.4ms | target 5.7ms (3301 calls) | path 437.5ms max 4.49ms (130 calls) | fog 41.8ms | minimap 0.3ms | ai 0.7ms | window 5.0s
[PERF] units H:28 E:30 | tick avg 1.94ms max 49.47ms (n=282) | move 484.9ms | target 6.7ms (3900 calls) | path 436.2ms max 3.77ms (128 calls) | fog 25.4ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:28 E:30 | tick avg 2.08ms max 49.52ms (n=281) | move 523.8ms | target 6.7ms (3853 calls) | path 474.7ms max 4.00ms (140 calls) | fog 23.1ms | minimap 0.4ms | ai 0.1ms | window 5.0s
[PERF] units H:27 E:30 | tick avg 1.91ms max 49.34ms (n=283) | move 480.5ms | target 6.9ms (3912 calls) | path 434.1ms max 4.15ms (128 calls) | fog 22.2ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:27 E:30 | tick avg 2.32ms max 60.79ms (n=277) | move 584.2ms | target 6.6ms (3904 calls) | path 542.8ms max 4.68ms (157 calls) | fog 24.4ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:26 E:30 | tick avg 2.36ms max 63.89ms (n=275) | move 588.5ms | target 7.1ms (4065 calls) | path 539.6ms max 4.67ms (154 calls) | fog 22.9ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:26 E:32 | tick avg 2.35ms max 63.89ms (n=276) | move 588.2ms | target 7.4ms (4074 calls) | path 540.6ms max 4.75ms (154 calls) | fog 22.4ms | minimap 0.3ms | ai 1.2ms | window 5.0s
[PERF] units H:26 E:33 | tick avg 2.59ms max 59.80ms (n=275) | move 653.3ms | target 7.5ms (4038 calls) | path 602.5ms max 4.73ms (170 calls) | fog 22.2ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:25 E:33 | tick avg 2.34ms max 57.70ms (n=278) | move 591.1ms | target 7.6ms (4091 calls) | path 546.1ms max 4.75ms (154 calls) | fog 24.7ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:25 E:33 | tick avg 2.31ms max 57.28ms (n=278) | move 584.7ms | target 7.7ms (4072 calls) | path 542.1ms max 4.67ms (154 calls) | fog 21.7ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:25 E:33 | tick avg 2.56ms max 58.63ms (n=277) | move 649.7ms | target 7.8ms (4065 calls) | path 599.6ms max 4.69ms (170 calls) | fog 22.4ms | minimap 0.3ms | ai 0.1ms | window 5.0s
