unit -> level,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
castle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
temple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lumbermill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
watcher tower,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
underground bunker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trigger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
factory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orc hq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orc barracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orc bunker,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
orc troll house,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worker,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swordman,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
archer,13,14,15,16,17,18,19,21,22,23,24,25,26,27,29,30,31,32,33,34,36,38
wizard,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,133
helicopter,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
catapult,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82
troll,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67
goblin,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
goblin bomb,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205
orc axe,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
orc spear,18,19,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40
zombie orc axe,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
zombie swordman,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
hero orc,13,15.6,18.2,20.8,23.4,26,28.6,31.2,33.8,36.4,39,41.6,44.2,46.8,49.4,52,54.6,57.2,59.8,62.4,65,67.6
hero goblin,11,12.7,14.4,16.1,17.8,19.5,21.2,22.9,24.6,26.3,28,29.7,31.4,33.1,34.8,36.5,38.2,39.9,41.6,43.3,45,46.7
hero spearman,13,15.3,17.6,19.9,22.2,24.5,26.8,29.1,31.4,33.7,36,38.3,40.6,42.9,45.2,47.5,49.8,52.1,54.4,56.7,59,61.3
hero lizardman,12,13.8,15.6,17.4,19.2,21,22.8,24.6,26.4,28.2,30,31.8,33.6,35.4,37.2,39,40.8,42.6,44.4,46.2,48,49.8
hero werewolf,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59,62,65,68,71,74,77
hero archer,16,18.9,21.8,24.7,27.6,30.5,33.4,36.3,39.2,42.1,45,47.9,50.8,53.7,56.6,59.5,62.4,65.3,68.2,71.1,74,76.9
hero monk,16,18.9,21.8,24.7,27.6,30.5,33.4,36.3,39.2,42.1,45,47.9,50.8,53.7,56.6,59.5,62.4,65.3,68.2,71.1,74,76.9
hero fighter,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59,62,65,68,71,74,77
hero bear,16,18.9,21.8,24.7,27.6,30.5,33.4,36.3,39.2,42.1,45,47.9,50.8,53.7,56.6,59.5,62.4,65.3,68.2,71.1,74,76.9
hero healer,11,12.7,14.4,16.1,17.8,19.5,21.2,22.9,24.6,26.3,28,29.7,31.4,33.1,34.8,36.5,38.2,39.9,41.6,43.3,45,46.7
hero knight,16,18.9,21.8,24.7,27.6,30.5,33.4,36.3,39.2,42.1,45,47.9,50.8,53.7,56.6,59.5,62.4,65.3,68.2,71.1,74,76.9
hero elf swordman,16,18.9,21.8,24.7,27.6,30.5,33.4,36.3,39.2,42.1,45,47.9,50.8,53.7,56.6,59.5,62.4,65.3,68.2,71.1,74,76.9
hero assassin,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59,62,65,68,71,74,77,80
hero lion,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59,62,65,68,71,74,77,80
hero crazy werewolf,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104
hero crazy bear,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104
hero crazy lion,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104
hero lady werewolf,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81
hero lady lion,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81
hero lady bear,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81
hero wizard,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104
hero tanker,11,12.7,14.4,16.1,17.8,19.5,21.2,22.9,24.6,26.3,28,29.7,31.4,33.1,34.8,36.5,38.2,39.9,41.6,43.3,45,46.7
hero skeleton,11,12.7,14.4,16.1,17.8,19.5,21.2,22.9,24.6,26.3,28,29.7,31.4,33.1,34.8,36.5,38.2,39.9,41.6,43.3,45,46.7
hero reaper,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104
hero ent,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81
hero salamander,22,26,30,34,38,42,46,50,54,58,62,66,70,74,78,82,86,90,94,100,104,108
hero undine,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81
hero santa,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104
hero rudolph,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59,62,65,68,71,74,77,80
hero santadog,18.7,22,25.3,28.6,31.9,35.2,38.5,41.8,45.1,48.4,51.7,55,58.3,61.6,64.9,68.2,71.5,74.8,78.1,81.4,84.7,88
hero penguin,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59,62,65,68,71,74,77,80
hero catinboots,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104
hero mole,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104
hero toymouse,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104
hero savagearcher,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104
hero batmonster,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59,62,65,68,71,74,77,80
hero memeat,12.1,13.97,15.84,17.71,19.58,21.45,23.32,25.19,27.06,28.93,30.8,32.67,34.54,36.41,38.28,40.15,42.02,43.89,45.76,47.63,49.5,51.37
hero parasite,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59,62,65,68,71,74,77,80
hero watermelon,22,26.4,30.8,35.2,39.6,44,48.4,52.8,57.2,61.6,66,70.4,74.8,79.2,83.6,88,92.4,96.8,101.2,105.6,110,114.4
