order,english,russian,turkish,spanish,portuguese,,,,,
,Free,,,,,,,,,
getFullVersion,FULL PACKAGE,,,,,,,,,
korean,한국어,,,,,,,,,
english,English,,,,,,,,,
russian,Русский,,,,,,,,,
french,français,,,,,,,,,
turkish,Türkçe,,,,,,,,,
Italian,Italian,,,,,,,,,
german,Deutsch,,,,,,,,,
spanish,Español,,,,,,,,,
japanese,日本語,,,,,,,,,
portuguese,Português,,,,,,,,,
language,Language,,,,,,,,,
menu,MENU,,,,,,,,,
ok,OK,,,,,,,,,
cancel,Cancel,,,,,,,,,
first purchase bonus,The first charge bonus,,,,,,,,,
free,Free,,,,,,,,,
exit,EXIT,,,,,,,,,
max level,MAX LEVEL,,,,,,,,,
hero alert,Heroes will be available in the game. All stages can be cleared without a hero. There are also stage the hero is prohibited.,,,,,,,,,
skill,SKILL,,,,,,,,,
attack capital,ATTACK,,,,,,,,,
success,SUCCESS,,,,,,,,,
setting,SETTINGS,,,,,,,,,
common hero,Common hero,,,,,,,,,
good hero,Good hero,,,,,,,,,
great hero,Great hero,,,,,,,,,
rare hero,Rare hero,,,,,,,,,
epic hero,Epic hero,,,,,,,,,
easy mode,Easy,,,,,,,,,
normal mode,Normal,,,,,,,,,
hell mode,Hell,,,,,,,,,
hard mode,Hard,,,,,,,,,
sort by rarity,Sort by rarity,,,,,,,,,
sort by slot,Sort by slot,,,,,,,,,
fusion,Fusion,,,,,,,,,
hero,Hero,,,,,,,,,
not enough slot,Not enough slots in the deck.,,,,,,,,,
network reset,Network Reset,,,,,,,,,
network reset warning,Network data will be erased. Scenario mode data is not affected. Do you want to continue?,,,,,,,,,
limited package,Limited Package,,,,,,,,,
martial art package,Monks package,,,,,,,,,
classic war package,War Basic Package,,,,,,,,,
master crew package,Master Crew,,,,,,,,,
crew manager package,Crew Manager,,,,,,,,,
you cannot build there,You can not build there,,,,,,,,,
mission cleared,MISSION CLEARED,,,,,,,,,
mission failed,MISSION FAILED,,,,,,,,,
premium retry,PREMIUM START,,,,,,,,,
premium retry desc,Re-start this stage with resources,,,,,,,,,
not enough barracks use gem,There is no barracks available. Do you want to use gems to finish the job?,,,,,,,,,
not enough worker use gem,All workers are constructing. Do you want to use gems to finish the job?,,,,,,,,,
already hired,This soldier is already hired.,,,,,,,,,
fire ask,Do you want to fire this soldier?,,,,,,,,,
yes,YES,,,,,,,,,
no,NO,,,,,,,,,
new soldiers,New soldiers are arriving,,,,,,,,,
deck,DECK,,,,,,,,,
inventory,INVENTORY,,,,,,,,,
inventory full,Not enough space in Inventory,,,,,,,,,
refresh,Refresh,,,,,,,,,
surrender,Surrender,,,,,,,,,
next match,Next opponent,,,,,,,,,
select ground to place soldiers,Pressing empty ground will start the battle,,,,,,,,,
not enough soliders,There is no soldier to attack.,,,,,,,,,
revenge,Revenge,,,,,,,,,
defence record,Defence record,,,,,,,,,
top rank,Top rank,,,,,,,,,
visit,VISIT,,,,,,,,,
sound,Sound,,,,,,,,,
receive,Receive,,,,,,,,,
day 1,Day 1,,,,,,,,,
24 hours,24 hours,,,,,,,,,
6 hours,6 hours,,,,,,,,,
shield desc,Protecting your resources,,,,,,,,,
expired,Expired,,,,,,,,,
hero tutorial 0,Welcome to the hero page. Heroes will help you in the campaign. You can get a hero here.,,,,,,,,,
hero tutorial 1,Now you got a hero. You can move the hero to the deck. Only the heroes on the deck will appear in the campaign.,,,,,,,,,
hero tutorial 2,Good job! Now heroes are ready to aid your battle in the campaign.,,,,,,,,,
hero tutorial 3,Try collecting as many heroes as you can. Heroes can be more powerful by level-up and fusion. You should try it. Good luck!,,,,,,,,,
battle record tutorial,"In this page, you can see who attacked you. Also you can check the top players and try attack them. If you do not want to lose any resource from battle, then use the shield to protect your resources.",,,,,,,,,
daily mission 0,Win an Arena battle,,,,,,,,,
daily mission 1,Win a CAMPAIGN,,,,,,,,,
daily mission 2,Win a network battle,,,,,,,,,
daily mission 3,Win a local battle,,,,,,,,,
network battle,Network battle,,,,,,,,,
local battle,Local battle,,,,,,,,,
challenge,Challenge,,,,,,,,,
daily mission,Daily mission,,,,,,,,,
daily reward,Daily reward,,,,,,,,,
special offer,Special offer,,,,,,,,,
ask special offer last,Special offer expired. It is the last chance. Do you want to see the items?,,,,,,,,,
upgrade castle alert,Unit's level can't exceed the castle's level.,,,,,,,,,
max level alert,Your already have reached the max level.,,,,,,,,,
last chance,Last chance,,,,,,,,,
single play,Single Play,,,,,,,,,
multi play,Multi Play,,,,,,,,,
find match,Find Match,,,,,,,,,
gem,Gem,,,,,,,,,
or,Or,,,,,,,,,
shop,Shop,,,,,,,,,
log,Log,,,,,,,,,
daily,Daily,,,,,,,,,
info,Info,,,,,,,,,
training,Training,,,,,,,,,
cut,Cut,,,,,,,,,
upgrade,Upgrade,,,,,,,,,
complete,Complete,,,,,,,,,
buy only once,You can buy this item only once.,,,,,,,,,
information,Information,,,,,,,,,
draw rate,Draw odds,,,,,,,,,
defence record none,No defensive record. Use the protective shield to protect your resources.,,,,,,,,,
defence record exist,There are defensive record. Come fight back to regain the resource.,,,,,,,,,
tip0,"If you double-tap a soldier, you can select all the same kind of soldiers.",,,,,,,,,
gold reached max,Upgrade the castle to store more gold.,,,,,,,,,
tree reached max,Upgrade the castle to store more lumber.,,,,,,,,,
